subject,puzzle,event,move,prev_move,s_free,s_fixed,d_goal,Lopt,attempt,RT,timestamp,first_move
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(5, -3)","(1, 2)","Int8[3, 2, 1, 4, 4, 3, 4, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",4,14,1,1486,1517522819151,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(2, -1)","(5, -3)","Int8[3, 2, 1, 4, 1, 3, 4, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",3,14,1,1913,1517522821064,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(4, -1)","(2, -1)","Int8[3, 1, 1, 4, 1, 3, 4, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",2,14,1,666,1517522821730,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(6, 1)","(4, -1)","Int8[3, 1, 1, 3, 1, 3, 4, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",1,14,1,991,1517522822721,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,win,"(0, 0)","(6, 1)","Int8[3, 1, 1, 3, 1, 4, 4, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",0,14,1,0,1517522822721,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,start,"(0, 0)","(0, 0)","Int8[2, 4, 5, 1, 1, 2, 4, 4, 5]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",9,9,1,0,1517522925336,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(2, -2)","(0, 0)","Int8[2, 4, 5, 1, 1, 2, 4, 4, 5]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",9,9,1,7489,1517522932825,true
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(8, 1)","(2, -2)","Int8[2, 2, 5, 1, 1, 2, 4, 4, 5]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",8,9,1,1092,1517522933917,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(5, 3)","(8, 1)","Int8[2, 2, 5, 1, 1, 2, 4, 5, 5]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",8,9,1,1033,1517522934950,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(3, -1)","(5, 3)","Int8[2, 2, 5, 1, 4, 2, 4, 5, 5]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",7,9,1,1148,1517522936098,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(9, -4)","(3, -1)","Int8[2, 2, 4, 1, 4, 2, 4, 5, 5]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",7,9,1,919,1517522937017,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(3, 1)","(9, -4)","Int8[2, 2, 4, 1, 4, 2, 4, 5, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",7,9,1,1137,1517522938154,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(5, -3)","(3, 1)","Int8[2, 2, 5, 1, 4, 2, 4, 5, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",7,9,1,960,1517522939114,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(1, -1)","(5, -3)","Int8[2, 2, 5, 1, 1, 2, 4, 5, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",8,9,1,7047,1517522946161,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(5, 3)","(1, -1)","Int8[1, 2, 5, 1, 1, 2, 4, 5, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",7,9,1,929,1517522947090,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(3, -3)","(5, 3)","Int8[1, 2, 5, 1, 4, 2, 4, 5, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",6,9,1,2832,1517522949922,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(5, -3)","(3, -3)","Int8[1, 2, 2, 1, 4, 2, 4, 5, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",5,9,1,1712,1517522951634,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(8, -4)","(5, -3)","Int8[1, 2, 2, 1, 1, 2, 4, 5, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",5,9,1,1052,1517522952686,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(6, 3)","(8, -4)","Int8[1, 2, 2, 1, 1, 2, 4, 1, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",4,9,1,1802,1517522954488,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(2, 3)","(6, 3)","Int8[1, 2, 2, 1, 1, 5, 4, 1, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",3,9,1,1471,1517522955959,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(5, 3)","(2, 3)","Int8[1, 5, 2, 1, 1, 5, 4, 1, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",2,9,1,1215,1517522957174,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,move,"(3, 3)","(5, 3)","Int8[1, 5, 2, 1, 4, 5, 4, 1, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",1,9,1,1268,1517522958442,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb62015_11,win,"(0, 0)","(3, 3)","Int8[1, 5, 5, 1, 4, 5, 4, 1, 1]","(Car(3, :x, 2), Car(6, :y, 2), Car(3, :y, 2), Car(1, :x, 3), Car(4, :x, 3), Car(4, :y, 2), Car(1, :x, 3), Car(5, :x, 2), Car(6, :x, 2))",0,9,1,0,1517522958442,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb47495_14,start,"(0, 0)","(0, 0)","Int8[2, 4, 3, 3, 2, 1, 1, 3, 5]","(Car(3, :x, 2), Car(1, :y, 2), Car(2, :x, 3), Car(4, :y, 3), Car(6, :x, 3), Car(6, :y, 2), Car(1, :y, 2), Car(6, :y, 2), Car(5, :x, 2))",12,12,1,0,1517522961516,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb47495_14,move,"(5, -1)","(0, 0)","Int8[2, 4, 3, 3, 2, 1, 1, 3, 5]","(Car(3, :x, 2), Car(1, :y, 2), Car(2, :x, 3), Car(4, :y, 3), Car(6, :x, 3), Car(6, :y, 2), Car(1, :y, 2), Car(6, :y, 2), Car(5, :x, 2))",12,12,1,4330,1517522965846,true
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb47495_14,move,"(4, 1)","(5, -1)","Int8[2, 4, 3, 3, 1, 1, 1, 3, 5]","(Car(3, :x, 2), Car(1, :y, 2), Car(2, :x, 3), Car(4, :y, 3), Car(6, :x, 3), Car(6, :y, 2), Car(1, :y, 2), Car(6, :y, 2), Car(5, :x, 2))",13,12,1,963,1517522966809,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb47495_14,move,"(4, -1)","(4, 1)","Int8[2, 4, 3, 4, 1, 1, 1, 3, 5]","(Car(3, :x, 2), Car(1, :y, 2), Car(2, :x, 3), Car(4, :y, 3), Car(6, :x, 3), Car(6, :y, 2), Car(1, :y, 2), Car(6, :y, 2), Car(5, :x, 2))",14,12,1,4139,1517522970948,false
